cgpa,internships,projects,aptitude_score,communication_score,active_backlogs,placed
7.11,2,2,59,2,1,0
9.59,3,4,99,7,1,1
8.65,1,5,72,8,2,0
8.07,3,5,65,6,0,1
6.17,3,2,78,5,2,0
6.17,2,1,60,9,2,0
5.75,3,4,92,3,2,0
9.22,2,5,88,4,1,1
8.08,0,2,81,9,0,1
8.54,0,5,82,6,0,1
5.59,2,4,93,8,2,0
9.67,0,4,80,7,1,1
9.08,1,3,48,2,2,0
6.41,3,2,63,3,1,0
6.28,1,4,76,1,1,0
6.29,3,3,88,9,1,1
6.81,0,3,80,7,1,0
7.76,1,5,56,1,0,0
7.36,0,5,63,3,1,0
6.75,3,3,60,4,1,1
8.13,2,5,90,4,2,0
6.1,2,4,98,5,2,0
6.76,1,1,78,3,0,0
7.08,0,4,94,3,2,0
7.46,0,3,80,1,1,0
8.88,1,3,78,7,2,0
6.36,2,4,52,1,0,0
7.71,3,5,50,2,2,0
8.05,1,5,85,4,2,0
5.7,3,3,58,4,0,1
8.11,2,2,50,5,0,1
6.23,0,5,52,2,1,0
5.78,2,4,85,4,2,0
9.58,1,5,84,1,1,1
9.65,0,4,40,2,2,0
8.98,1,3,79,1,2,0
6.81,1,5,83,4,1,0
5.92,2,4,58,4,2,0
8.44,1,3,51,7,2,0
7.39,2,2,47,9,2,0
6.02,0,4,47,9,0,0
7.63,2,2,92,5,1,1
5.65,0,2,84,1,0,0
9.41,2,1,51,1,1,0
6.61,3,5,87,6,1,1
8.35,3,4,72,2,2,0
6.84,1,2,84,8,1,1
7.74,2,1,65,9,0,1
7.85,2,3,78,4,0,1
6.29,0,4,67,5,0,0
9.67,1,2,97,8,1,1
8.83,2,5,44,3,0,1
9.54,1,1,47,5,1,0
9.35,3,2,64,3,0,1
8.07,2,5,66,3,0,1
9.46,2,2,85,3,1,1
5.88,1,4,62,7,0,1
6.34,2,4,69,7,2,0
5.69,1,4,84,7,1,0
6.9,2,1,86,8,1,1
7.17,0,4,62,5,1,0
6.67,1,5,88,5,2,0
9.06,2,2,86,4,1,1
7.03,3,3,59,7,0,1
6.71,2,5,57,4,0,1
7.83,3,5,57,2,0,1
6.11,3,4,41,4,1,0
8.95,0,1,43,8,0,1
5.82,1,2,69,9,1,0
9.74,2,1,72,3,0,1
8.82,0,2,75,7,2,0
6.35,2,2,57,9,2,0
5.52,3,1,76,4,2,0
9.01,1,5,58,3,2,0
8.54,2,2,86,5,1,1
8.63,2,1,67,1,0,1
8.82,3,2,79,3,2,1
5.82,2,3,59,8,1,0
7.04,2,5,88,8,2,1
6.0,3,4,72,4,2,0
9.21,0,2,51,2,1,0
8.18,3,3,97,8,1,1
6.92,0,4,90,8,0,1
5.77,1,4,54,4,0,0
6.84,0,2,80,3,2,0
6.9,0,1,78,2,2,0
8.64,1,2,41,9,0,1
8.24,0,3,68,1,0,0
9.32,3,4,80,7,1,1
7.53,0,2,49,5,0,0
6.01,1,1,41,8,0,0
8.57,3,2,90,4,2,1
8.77,1,5,50,7,0,1
7.91,1,1,52,5,2,0
8.82,2,3,49,5,0,1
7.62,2,4,53,9,1,1
7.75,1,2,57,9,0,1
7.34,1,1,90,9,0,1
5.61,1,5,93,6,0,1
5.96,2,1,48,6,2,0
5.64,2,5,96,5,1,1
8.24,0,3,78,9,0,1
6.85,0,4,67,8,2,0
7.69,1,3,42,7,1,0
9.4,3,2,59,7,2,1
6.57,3,1,45,6,2,0
7.26,2,5,66,5,1,1
8.75,2,5,92,4,0,1
6.48,2,1,41,3,2,0
5.83,1,1,68,3,2,0
6.75,3,2,77,6,0,1
6.19,0,3,42,4,0,0
9.5,1,5,55,6,1,1
8.97,0,2,69,3,1,0
8.22,0,3,79,4,1,0
9.25,1,2,41,9,0,1
8.96,0,5,56,5,2,0
6.3,3,1,80,7,2,0
9.34,0,1,51,2,1,0
7.82,3,3,74,5,0,1
8.97,3,4,82,9,2,1
9.35,3,3,40,3,1,1
6.87,2,4,94,9,2,1
5.97,0,2,84,6,2,0
6.48,1,2,54,4,0,0
7.34,1,5,65,7,0,1
9.02,0,4,76,8,2,0
9.2,2,5,60,6,1,1
5.53,2,1,88,5,0,1
7.7,3,4,70,6,2,1
7.29,0,3,64,5,0,0
6.46,0,1,62,8,0,0
6.02,1,1,63,1,0,0
6.95,0,3,96,7,2,0
9.55,2,1,77,2,1,1
6.89,0,4,67,9,1,0
7.73,1,5,60,1,1,0
8.52,3,1,93,6,0,1
7.06,1,4,82,9,2,0
9.68,1,2,57,1,0,1
9.64,3,4,75,4,1,1
6.58,1,5,74,4,1,0
7.64,1,4,84,9,2,0
6.79,0,3,94,5,0,0
6.72,0,5,48,5,1,0
5.66,3,2,92,6,2,0
8.12,0,3,77,1,0,0
7.66,0,4,97,1,0,0
5.72,1,5,69,9,1,0
6.7,2,2,99,3,1,0
9.41,0,3,83,4,0,1
6.53,2,2,73,1,0,0
6.12,0,4,71,9,1,0
7.6,0,2,42,8,0,0
9.74,3,1,42,2,1,1
6.54,3,3,67,8,0,1
8.39,3,2,83,7,1,1
8.77,2,4,54,6,2,0
6.52,1,4,80,1,1,0
8.63,0,2,62,7,1,0
7.08,0,4,79,7,2,0
8.22,0,5,50,9,0,1
8.22,2,5,87,1,2,0
7.8,3,5,71,2,1,1
5.89,1,1,97,9,0,1
9.09,2,2,98,9,2,1
6.88,3,1,96,6,0,1
6.3,2,4,93,6,0,1
5.68,1,1,75,4,2,0
8.04,3,4,99,4,0,1
8.41,2,4,72,5,2,0
5.57,1,3,63,3,1,0
7.7,0,5,78,1,0,0
6.47,1,4,73,1,1,0
8.27,0,3,95,7,1,1
6.25,2,5,67,1,0,0
8.47,3,4,76,1,2,0
7.16,3,4,46,3,0,1
9.53,2,1,43,4,1,1
6.09,3,1,76,4,1,0
6.97,3,5,95,2,2,0
5.99,0,4,40,1,0,0
9.48,2,2,40,3,1,0
9.27,1,1,86,4,1,1
6.61,0,5,59,3,1,0
8.34,2,4,58,8,2,1
9.01,0,4,68,1,1,0
7.89,1,2,49,2,1,0
7.78,1,5,99,7,0,1
6.54,2,4,57,4,0,1
5.9,1,1,67,8,1,0
9.36,0,2,74,3,1,0
9.37,1,5,82,6,0,1
8.22,0,2,86,9,2,0
6.96,0,1,70,1,2,0
7.0,1,5,66,1,2,0
8.62,2,2,50,8,2,0
9.36,3,3,88,3,2,1
9.31,1,1,88,5,2,0
8.85,0,1,77,1,2,0
8.26,0,1,44,5,2,0
5.86,1,3,47,6,0,0
6.2,2,3,73,8,2,0
9.36,2,4,87,3,2,1
8.11,0,2,91,3,2,0
5.54,0,4,95,9,1,0
5.94,2,2,51,4,0,0
8.35,3,3,77,4,0,1
5.52,1,3,40,7,0,0
6.19,0,4,70,2,2,0
7.86,0,5,43,8,2,0
8.48,2,4,88,6,1,1
8.3,1,2,84,3,0,1
6.46,2,4,89,9,2,1
8.56,1,1,44,5,0,1
6.52,1,2,69,8,1,0
6.9,1,2,95,7,1,1
8.71,0,5,63,8,1,1
8.29,3,3,98,7,0,1
9.15,2,2,42,3,2,0
8.33,3,3,50,2,2,0
7.94,2,4,84,7,1,1
5.9,1,1,43,3,2,0
7.08,0,5,65,3,1,0
6.64,3,3,66,2,0,1
6.55,0,2,85,4,1,0
9.68,2,3,93,8,0,1
7.19,0,2,82,1,1,0
9.34,0,3,66,1,2,0
8.21,3,2,81,5,2,1
8.92,1,4,90,5,1,1
7.66,0,2,89,1,2,0
7.98,1,2,45,6,2,0
7.62,2,1,98,1,2,0
6.34,0,2,54,5,0,0
8.61,3,1,92,9,2,1
6.71,2,5,69,5,0,1
5.6,2,1,81,6,1,0
8.28,3,4,76,8,2,1
6.26,0,1,97,1,2,0
9.54,0,5,76,2,2,0
9.6,2,4,81,9,1,1
